transformer_num_layer,transformer_hidden_size,transformer_nhead,transformer_dropout,model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
2,64,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9786.879044352198,59.66413476070952
2,64,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,10861.658193229374,66.26975596641593
2,64,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,11282.99339302013,67.6181565122341
2,64,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,12464.405582093728,73.54920501254222
2,64,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9281.331282141382,57.19077837089014
2,64,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,10299.775984217058,60.99858942373564
2,64,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,10717.364587860744,63.13763627021295
2,64,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10730.709784465496,63.374474183280974
2,64,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9323.05402507513,57.39950620986127
2,64,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9833.898853213324,59.13741333565654
2,64,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,10107.438349568629,60.66731526676539
2,64,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10668.83096067905,63.19796134736003
2,64,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9216.20139079148,56.34804860916001
2,64,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9594.116129250076,59.51332987358305
2,64,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9865.435830452609,59.08541752202391
2,64,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10361.268396988082,62.390097701362414
2,128,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9906.66573403622,60.96054206705147
2,128,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,10800.239923535912,64.2374362960968
2,128,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,11328.080051930694,67.9244106483472
2,128,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,11406.972985376591,67.89605400580129
2,128,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9264.728177136369,57.21222617896363
2,128,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,10501.419626461447,62.481439879607095
2,128,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,11175.532525517134,65.80599503967176
2,128,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10828.778290965176,64.36823728043352
2,128,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9176.547427602822,57.26069552363904
2,128,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9887.512880904002,59.52644592321537
2,128,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,10078.550387656313,60.827441517818336
2,128,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10453.703860768925,63.01968802291594
2,128,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9245.85682280154,57.44158989148185
2,128,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9700.730652789249,58.911618595589424
2,128,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9965.0625200823,59.43844582461483
2,128,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10765.722130811642,64.26233781036048
4,16,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,22997.607606981423,98.3834166360743
