model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
GRU,0.001,3,128_64_32,64,30,32,8599.025920623106,53.61782322284899
LSTM,0.001,3,128_64_32,64,30,32,8599.998807188958,53.06159650101647
GRU,0.001,3,128_64_32,128,30,32,8636.919211475744,54.11694237628009
LSTM,0.001,3,128_64_32,128,30,32,8544.108786743818,52.45024275168006
GRU,0.001,3,64_32_16,16,30,32,8973.207319193323,56.49064933483281
LSTM,0.001,3,64_32_16,16,30,32,8838.278593169845,56.2656421532275
GRU,0.001,3,64_32_16,32,30,32,8801.57719291931,53.88728607660793
LSTM,0.001,3,64_32_16,32,30,32,8736.63391203021,54.014159904008544
GRU,0.001,3,64_32_16,64,30,32,8850.030800282588,54.113684617235876
LSTM,0.001,3,64_32_16,64,30,32,8712.105685289589,53.84437299112317
GRU,0.001,3,64_32_16,128,30,32,8749.668280898803,54.29092561764878
LSTM,0.001,3,64_32_16,128,30,32,8772.014910865631,54.12471039608635
GRU,0.05,1,16,16,30,32,10359.023678439098,62.12958245436887
LSTM,0.05,1,16,16,30,32,10082.958522967167,60.59561008428357
GRU,0.05,1,16,32,30,32,10234.237228966555,60.982590307615574
LSTM,0.05,1,16,32,30,32,10194.193653527345,61.05725860363269
GRU,0.05,1,16,64,30,32,9960.712605834695,60.819898756100365
LSTM,0.05,1,16,64,30,32,10018.957431537789,60.946801643010296
GRU,0.05,1,16,128,30,32,9813.76935206155,60.67212890447137
LSTM,0.05,1,16,128,30,32,23041.268226773605,98.77200543955468
GRU,0.05,1,32,16,30,32,23039.920368633426,98.79317074285626
LSTM,0.05,1,32,16,30,32,10164.822591307526,59.94493678796764
GRU,0.05,1,32,32,30,32,9989.158846486238,60.38397219383967
LSTM,0.05,1,32,32,30,32,10074.843696544214,60.83228448425289
GRU,0.05,1,32,64,30,32,9928.869422553336,60.34808264882117
LSTM,0.05,1,32,64,30,32,9923.934679018867,61.566546327280314
GRU,0.05,1,32,128,30,32,9807.205709892833,60.98274971774828
LSTM,0.05,1,32,128,30,32,23042.12419020791,98.7537635047812
GRU,0.05,1,64,16,30,32,10324.872420637077,62.45829086217812
LSTM,0.05,1,64,16,30,32,9949.549142068598,59.0904900492039
GRU,0.05,1,64,32,30,32,9769.965461256488,59.17322789705133
LSTM,0.05,1,64,32,30,32,9898.303594324334,59.135092352064916
GRU,0.05,1,64,64,30,32,9908.54033787161,60.0771315761288
LSTM,0.05,1,64,64,30,32,10176.176122794634,61.738788833380674
GRU,0.05,1,64,128,30,32,9732.169789690775,60.00406642979254
LSTM,0.05,1,64,128,30,32,10050.161793636607,60.52761287142231
