model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
GRU,0.001,2,256_128,16,30,32,8547.335480409376,53.0716944986009
LSTM,0.001,2,256_128,16,30,32,8605.07956660843,53.51021363654826
GRU,0.001,2,256_128,32,30,32,8388.931617874761,51.89386677405038
LSTM,0.001,2,256_128,32,30,32,8402.338088537528,51.22494848615026
GRU,0.001,2,256_128,64,30,32,8406.080751658197,51.96087553591608
LSTM,0.001,2,256_128,64,30,32,8362.284596128444,51.83265972414098
GRU,0.001,2,256_128,128,30,32,8466.137036331695,51.9154131204105
LSTM,0.001,2,256_128,128,30,32,8308.430745507385,51.60155618021967
GRU,0.001,3,512_256_128,16,30,32,8448.972113251757,52.41123353768772
LSTM,0.001,3,512_256_128,16,30,32,8549.963761706915,52.54538285596314
GRU,0.001,3,512_256_128,32,30,32,8490.802658168976,52.156746244642136
LSTM,0.001,3,512_256_128,32,30,32,8414.581562032383,52.72016261440767
GRU,0.001,3,512_256_128,64,30,32,8460.779637158426,52.79941304383258
LSTM,0.001,3,512_256_128,64,30,32,8306.501172947026,51.29901699887513
GRU,0.001,3,512_256_128,128,30,32,8383.16896946947,52.30663813249868
LSTM,0.001,3,512_256_128,128,30,32,8468.865641356888,52.67849160708594
GRU,0.001,3,256_128_64,16,30,32,8646.392175848385,52.654576744980524
LSTM,0.001,3,256_128_64,16,30,32,8637.918910532284,54.37549508691853
GRU,0.001,3,256_128_64,32,30,32,8477.108427493775,52.486275789748596
LSTM,0.001,3,256_128_64,32,30,32,8470.10105268121,52.30879815936176
GRU,0.001,3,256_128_64,64,30,32,8549.437806958449,52.50155550676732
LSTM,0.001,3,256_128_64,64,30,32,8569.687085111313,52.27200875426612
GRU,0.001,3,256_128_64,128,30,32,8497.781762729268,52.37141038417279
LSTM,0.001,3,256_128_64,128,30,32,8407.07102280224,52.18084816642452
GRU,0.001,3,128_64_32,16,30,32,8629.417194465745,53.355854947030586
LSTM,0.001,3,128_64_32,16,30,32,8616.661322478672,53.98915517933203
GRU,0.001,3,128_64_32,32,30,32,8454.894094484216,51.99423921745387
LSTM,0.001,3,128_64_32,32,30,32,8552.22489237051,52.09097526879238
