model_type,batch_size,sequence_length,model_hidden_size,learning_rate,num_layers,fc_hidden_sizes,val_loss,val_mae
GRU,64,8,8,0.001,1,64,8839.2834909228,54.613240820221954
LSTM,64,8,8,0.001,1,64,8836.277298443554,54.102440326139146
GRU,64,8,16,0.001,1,64,8630.948328774231,53.68292265837142
LSTM,64,8,16,0.001,1,64,8564.170867440906,52.91001783411774
GRU,64,16,4,0.001,1,64,9005.577302935391,55.18764136516698
LSTM,64,16,4,0.001,1,64,8867.18872705767,54.56624112886201
GRU,64,16,8,0.001,1,64,8785.94690579286,54.26626911472821
LSTM,64,16,8,0.001,1,64,8726.975101148824,54.406858859133884
GRU,64,16,16,0.001,1,64,8612.133479921193,52.793998936446535
LSTM,64,16,16,0.001,1,64,8532.721970347271,52.69409826783851
GRU,64,30,4,0.001,1,64,9104.158306738029,55.31546921826363
LSTM,64,30,4,0.001,1,64,8978.018710980186,55.587005930131966
GRU,64,30,8,0.001,1,64,8872.627181403517,54.196295103359496
LSTM,64,30,8,0.001,1,64,8715.252919306793,53.59870724313282
GRU,64,30,16,0.001,1,64,8649.864442433844,53.14833130634686
LSTM,64,30,16,0.001,1,64,8542.102522036203,52.92292010749884
GRU,128,2,4,0.001,1,64,9001.054675664054,55.35847810699384
LSTM,128,2,4,0.001,1,64,8948.989657130129,55.340808036749124
GRU,128,2,8,0.001,1,64,8866.995047239005,54.30233330461662
LSTM,128,2,8,0.001,1,64,8802.21680022205,53.97585775030631
GRU,128,2,16,0.001,1,64,8606.575793997896,52.85476713068746
LSTM,128,2,16,0.001,1,64,8629.932379304404,52.8933717865732
GRU,128,8,4,0.001,1,64,9023.730889896216,55.10529121082108
LSTM,128,8,4,0.001,1,64,8966.895392169494,55.09630264473227
GRU,128,8,8,0.001,1,64,8854.963230229314,54.399110434931536
LSTM,128,8,8,0.001,1,64,8770.483139890008,54.016724242396016
GRU,128,8,16,0.001,1,64,8613.410842055713,53.552067319234716
LSTM,128,8,16,0.001,1,64,8649.512940956873,53.318920359999005
GRU,128,16,4,0.001,1,64,9061.608013866295,55.78384080433721
LSTM,128,16,4,0.001,1,64,9013.45014457316,55.05093784667031
GRU,128,16,8,0.001,1,64,8916.223802978468,54.05926431127475
LSTM,128,16,8,0.001,1,64,8795.180913781542,54.44070654513544
GRU,128,16,16,0.001,1,64,8657.407239174572,53.301656320886316
LSTM,128,16,16,0.001,1,64,8540.743841379319,52.94994440986365
GRU,128,30,4,0.001,1,64,9001.8632477795,54.72073076807653
LSTM,128,30,4,0.001,1,64,8968.934385691156,54.58648377738178
GRU,128,30,8,0.001,1,64,8864.37034803694,54.2441320746614
LSTM,128,30,8,0.001,1,64,8746.906967917992,54.38709860623013
GRU,128,30,16,0.001,1,64,8615.645193626362,53.180803183364795
LSTM,128,30,16,0.001,1,64,8555.620697924945,52.98816200446843
GRU,256,2,4,0.001,1,64,9106.256219449679,55.324686392724686
LSTM,256,2,4,0.001,1,64,8961.072822351,54.510107612673025
GRU,256,2,8,0.001,1,64,8939.35512686581,54.68596039576296
LSTM,256,2,8,0.001,1,64,8729.29482927328,53.54693119163521
GRU,256,2,16,0.001,1,64,8733.283293349828,53.97896280382807
LSTM,256,2,16,0.001,1,64,8644.776633787316,53.368215662047156
GRU,256,8,4,0.001,1,64,9092.771321194181,55.174652605304985
LSTM,256,8,4,0.001,1,64,9009.916150137607,55.074074260919595
GRU,256,8,8,0.001,1,64,8982.82893290028,54.75215861770647
LSTM,256,8,8,0.001,1,64,8809.293241801377,54.02777382815087
GRU,256,8,16,0.001,1,64,8721.319679567976,53.51099902104444
LSTM,256,8,16,0.001,1,64,8606.500990387272,52.73997424291344
GRU,256,16,4,0.001,1,64,9120.94406128536,55.50542539034042
LSTM,256,16,4,0.001,1,64,8977.550604632472,55.27278575981853
GRU,256,16,8,0.001,1,64,8919.92937578777,54.54873568820783
LSTM,256,16,8,0.001,1,64,8906.436936191836,54.28534779828134
GRU,256,16,16,0.001,1,64,8700.904572691332,53.655697448920456
LSTM,256,16,16,0.001,1,64,8693.411685997416,53.07333686212663
GRU,256,30,4,0.001,1,64,9199.971897197249,55.734062427561426
LSTM,256,30,4,0.001,1,64,8987.535183462973,55.121168128890986
GRU,256,30,8,0.001,1,64,8930.749148297022,54.49200575679681
LSTM,256,30,8,0.001,1,64,8876.04587908282,54.208036774993374
GRU,256,30,16,0.001,1,64,8735.016755526804,53.68669381043446
LSTM,256,30,16,0.001,1,64,8643.827542176712,53.139493819954964
