model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
Transformer,0.005,5,512_256_128_64_32,32,30,32,11282.99339302013,67.6181565122341
Transformer,0.005,5,512_256_128_64_32,32,30,32,12464.405582093728,73.54920501254222
Transformer,0.005,5,512_256_128_64_32,32,30,32,9281.331282141382,57.19077837089014
Transformer,0.005,5,512_256_128_64_32,32,30,32,10299.775984217058,60.99858942373564
Transformer,0.005,5,512_256_128_64_32,32,30,32,10717.364587860744,63.13763627021295
Transformer,0.005,5,512_256_128_64_32,32,30,32,10730.709784465496,63.374474183280974
Transformer,0.005,5,512_256_128_64_32,32,30,32,9323.05402507513,57.39950620986127
Transformer,0.005,5,512_256_128_64_32,32,30,32,9833.898853213323,59.13741333565654
Transformer,0.005,5,512_256_128_64_32,32,30,32,10107.438349568629,60.66731526676539
Transformer,0.005,5,512_256_128_64_32,32,30,32,10668.83096067905,63.19796134736003
Transformer,0.005,5,512_256_128_64_32,32,30,32,9216.201390791479,56.34804860916001
Transformer,0.005,5,512_256_128_64_32,32,30,32,9594.116129250075,59.51332987358305
Transformer,0.005,5,512_256_128_64_32,32,30,32,9865.435830452607,59.08541752202391
Transformer,0.005,5,512_256_128_64_32,32,30,32,10361.268396988082,62.390097701362414
Transformer,0.005,5,512_256_128_64_32,32,30,32,9906.66573403622,60.96054206705147
Transformer,0.005,5,512_256_128_64_32,32,30,32,10800.239923535913,64.2374362960968
Transformer,0.005,5,512_256_128_64_32,32,30,32,11328.080051930694,67.9244106483472
Transformer,0.005,5,512_256_128_64_32,32,30,32,11406.972985376593,67.89605400580129
Transformer,0.005,5,512_256_128_64_32,32,30,32,9264.728177136369,57.21222617896363
Transformer,0.005,5,512_256_128_64_32,32,30,32,10501.419626461447,62.481439879607095
Transformer,0.005,5,512_256_128_64_32,32,30,32,11175.532525517134,65.80599503967176
Transformer,0.005,5,512_256_128_64_32,32,30,32,10828.778290965176,64.36823728043352
Transformer,0.005,5,512_256_128_64_32,32,30,32,9176.547427602822,57.260695523639036
Transformer,0.005,5,512_256_128_64_32,32,30,32,9887.512880904002,59.52644592321537
Transformer,0.005,5,512_256_128_64_32,32,30,32,10078.550387656313,60.827441517818336
Transformer,0.005,5,512_256_128_64_32,32,30,32,10453.703860768925,63.01968802291594
Transformer,0.005,5,512_256_128_64_32,32,30,32,9245.856822801541,57.44158989148185
Transformer,0.005,5,512_256_128_64_32,32,30,32,9700.730652789247,58.911618595589424
Transformer,0.005,5,512_256_128_64_32,32,30,32,9965.0625200823,59.43844582461483
Transformer,0.005,5,512_256_128_64_32,32,30,32,10765.722130811642,64.26233781036048
Transformer,0.005,5,512_256_128_64_32,32,30,32,22997.607606981423,98.3834166360743
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.45355225822,99.88070786196519
Transformer,0.005,5,512_256_128_64_32,32,30,32,13170.082493191421,70.62828529216934
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.896385709784,99.86964805558057
Transformer,0.005,5,512_256_128_64_32,32,30,32,21305.02425835191,96.40135232304033
Transformer,0.005,5,512_256_128_64_32,32,30,32,9161.377775092593,55.412625621904546
Transformer,0.005,5,512_256_128_64_32,32,30,32,9385.641462393127,57.242482200484616
Transformer,0.005,5,512_256_128_64_32,32,30,32,23012.700631108124,99.90872638373195
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.851886824305,100.09044883683056
Transformer,0.005,5,512_256_128_64_32,32,30,32,9104.202798056265,56.02870359986071
Transformer,0.005,5,512_256_128_64_32,32,30,32,14601.303316228128,77.89127163714278
Transformer,0.005,5,512_256_128_64_32,32,30,32,9747.908883594837,58.73918453150612
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.32550246498,99.94756202568905
Transformer,0.005,5,512_256_128_64_32,32,30,32,8875.362755278056,54.887596094293286
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.60181629371,99.95386762310159
Transformer,0.005,5,512_256_128_64_32,32,30,32,13546.09923809498,75.38632709178019
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.169866963974,99.77884102779727
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.109478807062,99.78871431543351
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.3272421549,100.08981709001839
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.65845410525,99.8980174225761
Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.94169904412,100.19654072347765
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.966534834934,100.28974305472553
Transformer,0.005,5,512_256_128_64_32,32,30,32,23012.99481187832,99.98974673162984
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.268489783834,100.35238847596747
Transformer,0.005,5,512_256_128_64_32,32,30,32,23017.66817995371,99.59090049536988
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.171140686314,99.98726538876618
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.584086144725,99.97729829317908
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.43763824772,99.87306005461609
Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.810371373154,99.80342380021675
Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.88435146393,99.9235709292627
